## id x[0] y[0] z[0] T[0] x[1] y[1] z[1] T[1] x[2] y[2] z[2] T[2] 0 0 0 1
27	   0.92710    0.01601    0.37446   30.48370    0.37480   -0.03960   -0.92626  -73.42540   -0.00000    0.99909   -0.04271    3.75983 0 0 0 1
28	   0.84481   -0.01510    0.53485   43.34350    0.53506    0.02384   -0.84448  -66.64810   -0.00000    0.99960    0.02822    9.48820 0 0 0 1
29	   0.73110   -0.00137    0.68227   55.07330    0.68227    0.00147   -0.73110  -57.33540    0.00000    1.00000    0.00201    7.37412 0 0 0 1
30	   0.59744    0.04610    0.80059   64.51730    0.80191   -0.03434   -0.59645  -46.45700   -0.00000    0.99835   -0.05748    2.59562 0 0 0 1
31	   0.44287    0.01356    0.89648   71.88650    0.89659   -0.00670   -0.44282  -33.95230   -0.00000    0.99989   -0.01512    6.00377 0 0 0 1
32	   0.27475   -0.00451    0.96151   76.82940    0.96152    0.00129   -0.27474  -20.44200   -0.00000    0.99999    0.00469    7.58624 0 0 0 1
33	   0.10732    0.05236    0.99284   79.18630    0.99422   -0.00565   -0.10717   -7.07433    0.00000    0.99861   -0.05266    3.02364 0 0 0 1
34	  -0.06499    0.05452    0.99640   79.22770    0.99789    0.00355    0.06489    6.59630   -0.00000    0.99851   -0.05463    2.88030 0 0 0 1
35	  -0.22405   -0.00057    0.97458   77.16360    0.97458   -0.00013    0.22404   19.14040   -0.00000    1.00000    0.00058    7.25868 0 0 0 1
36	  -0.37799    0.00298    0.92580   73.11710    0.92581    0.00122    0.37799   31.21550   -0.00000    0.99999   -0.00322    6.95896 0 0 0 1
37	  -0.51198    0.04369    0.85789   67.70320    0.85900    0.02604    0.51131   41.67530   -0.00000    0.99871   -0.05086    3.21136 0 0 0 1
38	  -0.63250    0.03378    0.77382   60.94930    0.77456    0.02758    0.63190   51.04670   -0.00000    0.99905   -0.04361    3.78991 0 0 0 1
39	  -0.72794   -0.00732    0.68560   53.89540    0.68564   -0.00777    0.72790   58.44430   -0.00000    0.99994    0.01068    8.04891 0 0 0 1
40	  -0.80982   -0.02162    0.58629   46.09240    0.58668   -0.02985    0.80927   64.77820    0.00000    0.99932    0.03686   10.09690 0 0 0 1
41	  -0.87267   -0.00072    0.48830   38.36440    0.48830   -0.00128    0.87267   69.63190   -0.00000    1.00000    0.00147    7.32737 0 0 0 1
42	  -0.91846    0.01642    0.39517   31.09660    0.39551    0.03814    0.91767   73.16780   -0.00000    0.99914   -0.04152    3.96770 0 0 0 1
43	  -0.95317    0.01600    0.30202   23.82060    0.30244    0.05042    0.95183   75.85060   -0.00000    0.99860   -0.05289    3.07818 0 0 0 1
44	  -0.97511    0.00517    0.22167   17.51730    0.22173    0.02274    0.97484   77.54770   -0.00000    0.99973   -0.02332    5.39203 0 0 0 1
45	  -0.98775   -0.00218    0.15604   12.39110    0.15605   -0.01377    0.98765   78.52940    0.00000    0.99990    0.01394    8.30088 0 0 0 1
46	  -0.99489   -0.00448    0.10083    8.08963    0.10093   -0.04411    0.99391   79.08880    0.00000    0.99902    0.04434   10.67630 0 0 0 1
47	  -0.99846   -0.00352    0.05535    4.54199    0.05546   -0.06340    0.99645   79.37250   -0.00000    0.99798    0.06349   12.17790 0 0 0 1
48	  -0.99977   -0.00155    0.02149    1.89490    0.02154   -0.07186    0.99718   79.48030    0.00000    0.99741    0.07187   12.83690 0 0 0 1
49	  -1.00000   -0.00013    0.00180    0.35425    0.00180   -0.07373    0.99728   79.50060   -0.00000    0.99728    0.07373   12.98310 0 0 0 1
